Time,Qin,Qout,Level,TargetLevel
0,50.015731019768104,16.5673652,52.6,55
60,50.015731019768104,16.5673652,52.7,55
120,50.015731019768104,16.5673652,52.7,55
180,50.015731019768104,16.5673652,52.8,55
240,50.015731019768104,16.5673652,52.9,55
300,50.015731019768104,16.5673652,53.0,55
360,50.015731019768104,16.5673652,53.1,55
420,50.015731019768104,16.5673652,53.2,55
480,50.015731019768104,16.308551,53.2,55
540,50.015731019768104,16.308551,53.3,55
600,50.015731019768104,16.308551,53.4,55
660,50.015731019768104,16.308551,53.5,55
720,50.015731019768104,16.308551,53.6,55
780,50.14301933334937,17.4394106,53.6,55
840,50.015731019768104,17.4394106,53.7,55
900,50.015731019768104,17.4394106,53.8,55
960,50.015731019768104,17.4394106,53.9,55
1020,50.015731019768104,19.1363052,54.0,55
1080,50.015731019768104,19.1363052,54.0,55
1140,50.015731019768104,19.1363052,54.1,55
1200,50.015731019768104,19.1363052,54.2,55
1260,50.015731019768104,19.1363052,54.3,55
1320,50.015731019768104,18.7597848,54.3,55
1380,50.015731019768104,18.7597848,54.4,55
1440,50.015731019768104,18.7597848,54.5,55
1500,50.015731019768104,18.7597848,54.6,55
1560,50.015731019768104,18.7597848,54.7,55
1620,50.015731019768104,17.7330304,54.7,55
1680,50.015731019768104,17.7330304,54.8,55
1740,50.015731019768104,17.7330304,54.9,55
1800,50.015731019768104,17.7330304,55.0,55
1860,50.015731019768104,17.7330304,55.0,55
1920,50.015731019768104,16.9856068,55.1,55
1980,50.015731019768104,16.9856068,55.2,55
2040,50.015731019768104,16.9856068,55.3,55
2100,50.015731019768104,16.9856068,55.4,55
2160,50.015731019768104,16.9856068,55.5,55
2220,50.015731019768104,16.6888823,55.5,55
2280,50.015731019768104,16.6888823,55.6,55
2340,50.015731019768104,16.6888823,55.7,55
2400,50.015731019768104,16.6888823,55.8,55
2460,50.015731019768104,17.3544765,55.9,55
2520,0.0,17.3544765,55.8,55
2580,0.0,17.3544765,55.8,55
2640,0.0,17.3544765,55.7,55
2700,0.0,17.3544765,55.7,55
2760,0.11871209593503629,17.8218263,55.6,55
2820,0.0,17.8218263,55.6,55
2880,0.0,17.8218263,55.6,55
2940,0.11871209593503629,17.8218263,55.5,55
3000,0.0,17.8218263,55.5,55
3060,0.0,18.1274955,55.4,55
3120,0.11871209593503629,18.1274955,55.4,55
3180,0.0,18.1274955,55.3,55
3240,0.11871209593503629,18.1274955,55.3,55
3300,0.0,18.1274955,55.2,55
3360,0.0,18.2209805,55.2,55
3420,0.0,18.2209805,55.2,55
3480,0.11871209593503629,18.2209805,55.1,55
3540,0.0,18.2209805,55.1,55
3600,0.0,18.2209805,55.0,55
3660,0.0,18.64702,55.0,55
3720,0.0,18.64702,54.9,55
3780,0.0,18.64702,54.9,55
3840,0.0,18.64702,54.8,55
3900,0.0,18.6778833,54.8,55
